Flota,Ano,CONCEPTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,PROMEDIO
Artesanal,1992,CAMARON BLCO.,1422.11,1409.38,1538.11,1660.82,,,1742.86,1834.53,1642.82,1688.91,1712.94,1633.36,1628.58
Artesanal,1992,CAMARON CAFE,,,,,,,,,,,,,
Artesanal,1992,CAMARON ROSADO,,,,,,,,,,,,,
Artesanal,1992,CAMARON FIDEL,,,,,,,,,,,,,
Artesanal,1992,CAMARON CAMELLO,,,,,,,,,,,,,
Artesanal,1992,CAMARON REAL,,,,,,,,,,,,,
Artesanal,1992,CAMARON TITI,381.45,600.36,,350,,,400,387.5,350,375,475.89,,415.03
Artesanal,1992,TOT CAMARON   (4),,,,,,,,,,,,,
Artesanal,1992,LANG PACIFICA (CTE),1178.74,1182.22,1095.22,2150.36,1368.24,2354.42,1530.96,2002.73,1921.76,2183.97,2124.78,1649.79,1728.6
Artesanal,1992,LANG CARIBE,,,,,,,,,,,,,
Artesanal,1992,TOT LANGOSTA  (5),,,,,,,,,,,,,
Artesanal,1992,CALAMAR,81.67,196.12,155.89,129.85,124.04,154.36,190.36,199.42,257.97,270.74,232.07,236.59,185.76
Artesanal,1992,PULPO,404.85,458.69,612.39,659.4,276.86,377.54,247.89,256.13,375.82,511.25,594.47,649.58,452.07
Artesanal,1992,PIANGUAS,14.17,254.19,259.21,259.21,291.61,253.02,268.14,286.47,566.48,276.52,327.1,328.15,282.02
Artesanal,1992,CAMBUTE,90.55,384.13,,,,,,271.43,200,300,,,249.22
Artesanal,1992,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Artesanal,1992,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Artesanal,1992,ALETA TIBURON,2882.71,1428.05,3413.22,2328.03,1865.1,2575.19,2817.88,2931.25,420.63,290.57,453.83,972.27,1864.89
Artesanal,1992,FILET,,,,,,,400,400,232.38,,,,344.13
Artesanal,1992,BUCHE,,,,,,,,,300,300,300,,300
Artesanal,1992,CANGREJO,175,70,,,,,,100,100,100,100,,107.5
Artesanal,1992,C. TOT OTROS   (7),,,,,,,,,,,,,
Artesanal,1992,D. TORTUGA     (8),,,,,,,,,,,,,
Artesanal,1992,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Industrial,1992,PRIMERA GDE.,,200,400,,,200,,250,,,,,262.5
Industrial,1992,PRIMERA PEQ.,124.29,162.79,118.02,342.29,113.47,150.49,211.1,168,174.05,250.89,169.85,67.38,171.05
Industrial,1992,CLASIFICADO,45.66,99.39,106,130.44,118.52,101.54,121.83,58.31,122.19,162.44,168.68,128.71,113.64
Industrial,1992,CHATARRA,43.53,51.77,83.02,4.16,43.74,61.5,76.07,51.3,73.02,111.52,94.25,67.05,63.41
Industrial,1992,AGRIA COLA,91.49,109.53,205.13,188.33,254,275.84,272.79,383.68,285.51,242.06,248.69,211.36,230.7
Industrial,1992,CABRILLA,162.58,292.19,272.03,335.44,112.35,204.5,263.59,293.68,320.37,372,315.86,,267.69
Industrial,1992,PARGO SEDA,,,,325,,,,,,,,,325
Industrial,1992,DORADO,,,,,,,150,,,,,,150
Industrial,1992,MARLIN BLCO.,,,,,,,,,,,,,
Industrial,1992,MARLIN ROS.,,,,,,,,,,,,,
Industrial,1992,TREACHER,,,,,,,,,,,,,
Industrial,1992,PEZ VELA,,,,,,,,,,,,,
Industrial,1992,PEZ ESPADA,,,,,,,,,,,,,
Industrial,1992,TOT PESC EVIS (1),,,,,,,,,,,,,
Industrial,1992,SARDINA,13.23,11.71,13.41,12.09,13.23,13.23,13.23,13.23,19.04,30.87,17.54,24.13,16.25
Industrial,1992,ATUN,189.88,185.26,177.45,170,,377.8,406.24,144.31,88.82,120.64,80.25,410,213.7
Industrial,1992,TOT PELAGICOS (2),,,,,,,,,,,,,
Industrial,1992,CAZON,8.22,55.34,117.26,110.12,43.65,49.91,57.16,64.12,97.23,86.25,86.55,75.06,70.91
Industrial,1992,POSTA,67.31,61.33,108.52,76.42,30.31,23.31,106,50,64.7,100,60,,67.99
Industrial,1992,MACO,,,,,,166.77,42.87,116.28,150.2,77.21,91.76,75.65,102.96
Industrial,1992,TOTAL TIBURON (3),,,,,,,,,,,,,
Industrial,1992,A. PESCADOS (1+2+3),,,,,,,,,,,,,
Industrial,1992,CAMARON BLCO.,1107.97,1796.71,1161.04,3116.21,2606.03,2811.88,2675.32,1888.84,2136.8,2025.8,1960.15,1942.28,2102.42
Industrial,1992,CAMARON CAFE,1821.58,1361.67,1420.22,1910.77,1768.47,1105.87,1300.83,1287.26,1197.7,1667.24,1193.97,1900,1494.63
Industrial,1992,CAMARON ROSADO,503.08,392.35,581.25,592.26,502.21,391.35,508.16,521.89,540.67,709.91,595.93,392.37,519.29
Industrial,1992,CAMARON FIDEL,323.68,414.35,408.64,413.18,296.27,261.65,355.24,314.84,389.11,418.83,396.38,406,366.51
Industrial,1992,CAMARON CAMELLO,,,218.24,162.72,117.69,95.71,72.93,70,70,70,70.01,33.29,98.06
Industrial,1992,CAMARON REAL,33.06,32.39,31.12,28.72,33.07,33.07,33.07,29.78,33.21,33.07,28.89,33.06,31.88
Industrial,1992,CAMARON TITI,1770,208.13,128.58,636.78,331.29,214.2,445.77,276.13,395.64,230.54,264.34,249.33,429.23
Industrial,1992,TOT CAMARON   (4),,,,,,,,,,,,,
Industrial,1992,LANG PACIFICA (CTE),,,,,,,,,,,,,
Industrial,1992,LANG CARIBE,,,,,,,,,,,,,
Industrial,1992,TOT LANGOSTA  (5),,,,,,,,,,,,,
Industrial,1992,CALAMAR,,,100,,,,,,,,,,100
Industrial,1992,PULPO,,,,,,,,,,,,,
Industrial,1992,PIANGUAS,,,,,,,,,,,,,
Industrial,1992,CAMBUTE,,,200,,,,,,,,,,200
Industrial,1992,TOT MOLUSCOS  (6)*,,,,,,,,,,,,,
Industrial,1992,B. TOT MARISCOS (4+5+6),,,,,,,,,,,,,
Industrial,1992,ALETA TIBURON,,,,,,,,,,,,,
Industrial,1992,FILET,,,,,,,,,,,,,
Industrial,1992,BUCHE,,,,,,,,,,,,,
Industrial,1992,CANGREJO,,,,,,,,,,,,,
Industrial,1992,C. TOT OTROS   (7),,,,,,,,,,,,,
Industrial,1992,D. TORTUGA     (8),,,,,,,,,,,,,
Industrial,1992,GRAN TOTAL (õ A+B+C+D),,,,,,,,,,,,,
Artesanal,1993,PRIMERA GDE.,356.96,361.89,364.47,357.23,332.7,335.71,339.54,351.02,364.32,364.58,364.91,355.73,354.09
Artesanal,1993,PRIMERA PEQ.,304.1,323.51,289.05,275.82,237.45,240.04,269.35,290.18,296.17,283.75,289.59,315.44,284.54
Artesanal,1993,CLASIFICADO,161.13,222.7,242.21,233.94,203.06,179.74,208.47,218.05,231.32,237.88,206.64,185.4,210.88
Artesanal,1993,CHATARRA,98.14,103.09,103.93,103.62,77.77,80.71,82.22,91.68,90.3,92.9,91.87,96.85,92.76
Artesanal,1993,AGRIA COLA,160.72,171.54,171.89,193.36,158.86,141.86,168.3,178.97,192.6,167,180.99,179.13,172.1
Artesanal,1993,CABRILLA,361.12,362.02,385.74,451.96,385.54,332.41,378.93,436.03,448.59,437.14,430.81,390.22,400.04
Artesanal,1993,PARGO SEDA,330.38,336.69,300.64,312.39,253.68,226,249.63,277.79,293.85,317.98,331.55,339.61,297.52
Artesanal,1993,DORADO,206.1,244.06,229.23,281.1,371.57,491.6,604.4,630.3,675.14,483.61,343.47,278.14,403.23
Artesanal,1993,MARLIN BLCO.,260.11,297.35,404.1,426.63,355.1,252.8,249.86,269.26,371.75,305.83,256.4,265.74,309.58
Artesanal,1993,MARLIN ROS.,156.54,206.05,220.74,256.71,230.21,208.39,195.87,169.51,232.59,198.5,181.38,144.76,200.1
Artesanal,1993,TREACHER,104.02,142.94,132.06,135.45,84.92,95.72,79.49,110.01,128.22,109.26,103.21,90.92,109.69
Artesanal,1993,PEZ VELA,,,,,,,,,,,,,
Artesanal,1993,PEZ ESPADA,201.89,226.67,653.17,946.2,806.55,907.92,901.23,861.6,741.17,508.13,502.63,567.91,652.09
Artesanal,1993,TOT PESC EVIS (1),,,,,,,,,,,,,
Artesanal,1993,SARDINA,48.04,53.17,62.72,49.87,64.17,34.6,41.43,58.58,42.83,68.55,60.57,50.97,52.96
Artesanal,1993,ATUN,379.99,456.18,353.91,506.07,511.72,505.39,603.8,629.31,473.77,372.85,632.29,631.32,504.72
Artesanal,1993,TOT PELAGICOS (2),,,,,,,,,,,,,
Artesanal,1993,CAZON,148.7,198.36,213.91,199.45,150.48,153.12,92.03,132.2,201.52,200.17,189.07,156.12,169.59
Artesanal,1993,POSTA,117.25,136.21,143.26,136.93,89.78,101.2,64.15,102.48,134.63,140.63,126.22,114.39,117.26
Artesanal,1993,MACO,116.99,149.58,145.8,285.03,100.56,149.48,76,102.67,126.28,102.36,137.93,82.8,131.29
Artesanal,1993,TOTAL TIBURON (3),,,,,,,,,,,,,
Artesanal,1993,A. PESCADOS õ(1+2+3),,,,,,,,,,,,,
